N,Ground_Energy,Energy_per_Site
4,-4.758770483143635,-1.1896926207859086
6,-7.296229810558767,-1.2160383017597944
8,-9.837951447459425,-1.229743930932428
10,-12.381489999654749,-1.238148999965475
