# epoch,energy
0.000000000000000000e+00,-1.001260710787041930e+01
1.000000000000000000e+00,-1.001917162530893535e+01
2.000000000000000000e+00,-1.005490778224222304e+01
3.000000000000000000e+00,-1.003613861586527456e+01
4.000000000000000000e+00,-1.008767435155747627e+01
5.000000000000000000e+00,-1.007698142014042020e+01
6.000000000000000000e+00,-1.009333249018071044e+01
7.000000000000000000e+00,-1.019535894783222041e+01
8.000000000000000000e+00,-1.018139697710335057e+01
9.000000000000000000e+00,-1.033167061090502870e+01
1.000000000000000000e+01,-1.040489635017173065e+01
1.100000000000000000e+01,-1.053329677713105461e+01
1.200000000000000000e+01,-1.063304046036531147e+01
1.300000000000000000e+01,-1.088259765425645220e+01
1.400000000000000000e+01,-1.102552679794402302e+01
1.500000000000000000e+01,-1.127134673670115816e+01
1.600000000000000000e+01,-1.140070233025956981e+01
1.700000000000000000e+01,-1.149966270394328127e+01
1.800000000000000000e+01,-1.166335660139808361e+01
1.900000000000000000e+01,-1.171449514192725694e+01
2.000000000000000000e+01,-1.176578229359606276e+01
2.100000000000000000e+01,-1.181740069712724228e+01
2.200000000000000000e+01,-1.184296852043127224e+01
2.300000000000000000e+01,-1.186443346236975316e+01
2.400000000000000000e+01,-1.189909271260371959e+01
2.500000000000000000e+01,-1.189858787645755278e+01
2.600000000000000000e+01,-1.189718725944458022e+01
2.700000000000000000e+01,-1.190463125048239057e+01
2.800000000000000000e+01,-1.192047029837727479e+01
2.900000000000000000e+01,-1.189893851673972769e+01
3.000000000000000000e+01,-1.191308778626631515e+01
3.100000000000000000e+01,-1.191107229120846434e+01
3.200000000000000000e+01,-1.190509138173292847e+01
3.300000000000000000e+01,-1.192304761858683548e+01
3.400000000000000000e+01,-1.191064325545288582e+01
3.500000000000000000e+01,-1.192232115334718046e+01
3.600000000000000000e+01,-1.189937558529036998e+01
3.700000000000000000e+01,-1.191755689488466174e+01
3.800000000000000000e+01,-1.190868204956855081e+01
3.900000000000000000e+01,-1.191842579799617852e+01
4.000000000000000000e+01,-1.194282046078836856e+01
4.100000000000000000e+01,-1.192736975643302699e+01
4.200000000000000000e+01,-1.190960731021790586e+01
4.300000000000000000e+01,-1.192790555212882531e+01
4.400000000000000000e+01,-1.192340899029719203e+01
4.500000000000000000e+01,-1.189938026939516114e+01
4.600000000000000000e+01,-1.191932081380719488e+01
4.700000000000000000e+01,-1.190574909661386549e+01
4.800000000000000000e+01,-1.191741663758094916e+01
4.900000000000000000e+01,-1.191166998396467669e+01
5.000000000000000000e+01,-1.190728864077132698e+01
5.100000000000000000e+01,-1.189988054955311192e+01
5.200000000000000000e+01,-1.191770694304065792e+01
5.300000000000000000e+01,-1.190389603732299051e+01
5.400000000000000000e+01,-1.192430152646635122e+01
5.500000000000000000e+01,-1.190745031051540970e+01
5.600000000000000000e+01,-1.193085071539985798e+01
5.700000000000000000e+01,-1.192339088043013540e+01
5.800000000000000000e+01,-1.192666874156860679e+01
5.900000000000000000e+01,-1.192810366824067181e+01
6.000000000000000000e+01,-1.189577484576177824e+01
6.100000000000000000e+01,-1.190276511134891457e+01
6.200000000000000000e+01,-1.190710550044039273e+01
6.300000000000000000e+01,-1.191930796559172734e+01
6.400000000000000000e+01,-1.192664826813968659e+01
6.500000000000000000e+01,-1.191194872802091531e+01
6.600000000000000000e+01,-1.191587142149688994e+01
6.700000000000000000e+01,-1.190479286869419262e+01
6.800000000000000000e+01,-1.193337864869206655e+01
6.900000000000000000e+01,-1.193193445347966630e+01
7.000000000000000000e+01,-1.189416592374749015e+01
7.100000000000000000e+01,-1.192900359542084132e+01
7.200000000000000000e+01,-1.190021870137734084e+01
7.300000000000000000e+01,-1.192307058435194378e+01
7.400000000000000000e+01,-1.192771082330297716e+01
7.500000000000000000e+01,-1.192395869489296878e+01
7.600000000000000000e+01,-1.192822792572105151e+01
7.700000000000000000e+01,-1.191904457264703510e+01
7.800000000000000000e+01,-1.191050767175396352e+01
7.900000000000000000e+01,-1.191318546975907822e+01
8.000000000000000000e+01,-1.192295978005549451e+01
8.100000000000000000e+01,-1.192952554281556488e+01
8.200000000000000000e+01,-1.190639652224289691e+01
8.300000000000000000e+01,-1.191021028390187375e+01
8.400000000000000000e+01,-1.192379273521696881e+01
8.500000000000000000e+01,-1.190808630411350677e+01
8.600000000000000000e+01,-1.191714771358776837e+01
8.700000000000000000e+01,-1.192359150628400499e+01
8.800000000000000000e+01,-1.192231711665942839e+01
8.900000000000000000e+01,-1.190751247746958796e+01
9.000000000000000000e+01,-1.190214182768844964e+01
9.100000000000000000e+01,-1.193678167988052508e+01
9.200000000000000000e+01,-1.190338819113941682e+01
9.300000000000000000e+01,-1.191279405791157231e+01
9.400000000000000000e+01,-1.194228751628543073e+01
9.500000000000000000e+01,-1.191028724204318046e+01
9.600000000000000000e+01,-1.190515366121083218e+01
9.700000000000000000e+01,-1.190932448439043867e+01
9.800000000000000000e+01,-1.188198121897148418e+01
9.900000000000000000e+01,-1.191196333319021328e+01
1.000000000000000000e+02,-1.190824330171993495e+01
1.010000000000000000e+02,-1.189077874588417849e+01
1.020000000000000000e+02,-1.190284552152057174e+01
1.030000000000000000e+02,-1.193288254956765293e+01
1.040000000000000000e+02,-1.193212464104777837e+01
1.050000000000000000e+02,-1.194056849654053387e+01
1.060000000000000000e+02,-1.190813888380782615e+01
1.070000000000000000e+02,-1.192046377948486757e+01
1.080000000000000000e+02,-1.192531412481817021e+01
1.090000000000000000e+02,-1.192091904131704183e+01
1.100000000000000000e+02,-1.191980971893583963e+01
1.110000000000000000e+02,-1.192965433701148292e+01
1.120000000000000000e+02,-1.190480261810504814e+01
1.130000000000000000e+02,-1.189643445018789691e+01
1.140000000000000000e+02,-1.191825269712072277e+01
1.150000000000000000e+02,-1.190824796180899448e+01
1.160000000000000000e+02,-1.191866947944656907e+01
1.170000000000000000e+02,-1.193046269507066093e+01
1.180000000000000000e+02,-1.190327653783041484e+01
1.190000000000000000e+02,-1.190696905882035672e+01
1.200000000000000000e+02,-1.191884724458910760e+01
1.210000000000000000e+02,-1.191971086850568007e+01
1.220000000000000000e+02,-1.190905231535389497e+01
1.230000000000000000e+02,-1.191428709193628244e+01
1.240000000000000000e+02,-1.191582039027400342e+01
1.250000000000000000e+02,-1.190928765989118254e+01
1.260000000000000000e+02,-1.193301405733826392e+01
1.270000000000000000e+02,-1.191043441884945864e+01
1.280000000000000000e+02,-1.191326676955984887e+01
1.290000000000000000e+02,-1.193166698345531529e+01
1.300000000000000000e+02,-1.191795861980744320e+01
1.310000000000000000e+02,-1.189284081450652053e+01
1.320000000000000000e+02,-1.191518804759407502e+01
1.330000000000000000e+02,-1.192208086503302233e+01
1.340000000000000000e+02,-1.191458306150465951e+01
1.350000000000000000e+02,-1.189755939487189096e+01
1.360000000000000000e+02,-1.191370828388752656e+01
1.370000000000000000e+02,-1.193602582969530879e+01
1.380000000000000000e+02,-1.191367997241153098e+01
1.390000000000000000e+02,-1.192100124097393810e+01
1.400000000000000000e+02,-1.190130118788059832e+01
1.410000000000000000e+02,-1.191087343176620017e+01
1.420000000000000000e+02,-1.190696478614276899e+01
1.430000000000000000e+02,-1.189985263030879459e+01
1.440000000000000000e+02,-1.191039448872914619e+01
1.450000000000000000e+02,-1.192038408183716314e+01
1.460000000000000000e+02,-1.192056265371798141e+01
1.470000000000000000e+02,-1.193135050712712086e+01
1.480000000000000000e+02,-1.193607141691125406e+01
1.490000000000000000e+02,-1.195873635893321563e+01
1.500000000000000000e+02,-1.191245119692199417e+01
1.510000000000000000e+02,-1.192232800986556285e+01
1.520000000000000000e+02,-1.192946755408536674e+01
1.530000000000000000e+02,-1.189926364218307420e+01
1.540000000000000000e+02,-1.192323475064543992e+01
1.550000000000000000e+02,-1.191110580353269732e+01
1.560000000000000000e+02,-1.192035730554032646e+01
1.570000000000000000e+02,-1.192698768550535249e+01
1.580000000000000000e+02,-1.193470410361154244e+01
1.590000000000000000e+02,-1.192887534565215546e+01
1.600000000000000000e+02,-1.191138328276509029e+01
1.610000000000000000e+02,-1.190877432581539352e+01
1.620000000000000000e+02,-1.192656748072010942e+01
1.630000000000000000e+02,-1.191783666353965110e+01
1.640000000000000000e+02,-1.192099582395054647e+01
1.650000000000000000e+02,-1.192317446392100244e+01
1.660000000000000000e+02,-1.192309014675710799e+01
1.670000000000000000e+02,-1.190335454358679712e+01
1.680000000000000000e+02,-1.192764118392877748e+01
1.690000000000000000e+02,-1.190169687149873923e+01
1.700000000000000000e+02,-1.191374848983319445e+01
1.710000000000000000e+02,-1.192725296222778120e+01
1.720000000000000000e+02,-1.190659332792250957e+01
1.730000000000000000e+02,-1.193061196345510666e+01
1.740000000000000000e+02,-1.191338673320137431e+01
1.750000000000000000e+02,-1.192139126389648496e+01
1.760000000000000000e+02,-1.193205701670135532e+01
1.770000000000000000e+02,-1.192592263271079389e+01
1.780000000000000000e+02,-1.191086896535771977e+01
1.790000000000000000e+02,-1.191799076890008280e+01
1.800000000000000000e+02,-1.192536497834810305e+01
1.810000000000000000e+02,-1.190766205824143675e+01
1.820000000000000000e+02,-1.191625160219625279e+01
1.830000000000000000e+02,-1.191241595160285982e+01
1.840000000000000000e+02,-1.192856488966865314e+01
1.850000000000000000e+02,-1.191867921629427229e+01
1.860000000000000000e+02,-1.194401363171408015e+01
1.870000000000000000e+02,-1.193009445423119708e+01
1.880000000000000000e+02,-1.192512455262160387e+01
1.890000000000000000e+02,-1.192097548882703961e+01
1.900000000000000000e+02,-1.192334717089144824e+01
1.910000000000000000e+02,-1.193420819641032260e+01
1.920000000000000000e+02,-1.190338243678471564e+01
1.930000000000000000e+02,-1.190736634511560155e+01
1.940000000000000000e+02,-1.191185637970659172e+01
1.950000000000000000e+02,-1.190560287332422185e+01
1.960000000000000000e+02,-1.192300693732646089e+01
1.970000000000000000e+02,-1.191392486834947562e+01
1.980000000000000000e+02,-1.191904825267728008e+01
1.990000000000000000e+02,-1.189198305284031498e+01
2.000000000000000000e+02,-1.190933082213521921e+01
2.010000000000000000e+02,-1.192146301754279136e+01
2.020000000000000000e+02,-1.191251119002490277e+01
2.030000000000000000e+02,-1.192436150815060536e+01
2.040000000000000000e+02,-1.190819566991705969e+01
2.050000000000000000e+02,-1.190412885687702271e+01
2.060000000000000000e+02,-1.191734913536931906e+01
2.070000000000000000e+02,-1.190700207248665876e+01
2.080000000000000000e+02,-1.190123869738603979e+01
2.090000000000000000e+02,-1.190911224475788899e+01
2.100000000000000000e+02,-1.192783121787455869e+01
2.110000000000000000e+02,-1.192275759915994016e+01
2.120000000000000000e+02,-1.191384230019395218e+01
2.130000000000000000e+02,-1.194035571705786580e+01
2.140000000000000000e+02,-1.189963215993100931e+01
2.150000000000000000e+02,-1.192784118961322903e+01
2.160000000000000000e+02,-1.193070774433883763e+01
2.170000000000000000e+02,-1.194296135962460248e+01
2.180000000000000000e+02,-1.190204636716342357e+01
2.190000000000000000e+02,-1.189797255676899645e+01
2.200000000000000000e+02,-1.193390151169784552e+01
2.210000000000000000e+02,-1.192740135556392289e+01
2.220000000000000000e+02,-1.191868754559995125e+01
2.230000000000000000e+02,-1.191796673692318187e+01
2.240000000000000000e+02,-1.192367316940281619e+01
2.250000000000000000e+02,-1.193407702018479810e+01
2.260000000000000000e+02,-1.192131192672847284e+01
2.270000000000000000e+02,-1.191861265615561116e+01
2.280000000000000000e+02,-1.190229782693423388e+01
2.290000000000000000e+02,-1.192131517697327325e+01
2.300000000000000000e+02,-1.191960031403815456e+01
2.310000000000000000e+02,-1.192304980382645319e+01
2.320000000000000000e+02,-1.192020806900642782e+01
2.330000000000000000e+02,-1.194015845472446102e+01
2.340000000000000000e+02,-1.191431934814088578e+01
2.350000000000000000e+02,-1.191468974551160187e+01
2.360000000000000000e+02,-1.192577938596751608e+01
2.370000000000000000e+02,-1.191165439706228746e+01
2.380000000000000000e+02,-1.191984695730566024e+01
2.390000000000000000e+02,-1.192867076645371505e+01
2.400000000000000000e+02,-1.189958914343680974e+01
2.410000000000000000e+02,-1.188938891893041827e+01
2.420000000000000000e+02,-1.192409065953473046e+01
2.430000000000000000e+02,-1.193595713506556066e+01
2.440000000000000000e+02,-1.192936406498960444e+01
2.450000000000000000e+02,-1.193028787064971397e+01
2.460000000000000000e+02,-1.192053565624965827e+01
2.470000000000000000e+02,-1.191018719868133324e+01
2.480000000000000000e+02,-1.190415165905209527e+01
2.490000000000000000e+02,-1.192183689360904530e+01
2.500000000000000000e+02,-1.190683034449360278e+01
2.510000000000000000e+02,-1.191068835759233657e+01
2.520000000000000000e+02,-1.192681519535657664e+01
2.530000000000000000e+02,-1.191216727003647513e+01
2.540000000000000000e+02,-1.191210126866182861e+01
2.550000000000000000e+02,-1.191065140514385234e+01
2.560000000000000000e+02,-1.192507699709232405e+01
2.570000000000000000e+02,-1.193285481480029908e+01
2.580000000000000000e+02,-1.190070555514280137e+01
2.590000000000000000e+02,-1.193402554463739129e+01
