# epoch,energy
0.000000000000000000e+00,-4.003602196949509917e+00
1.000000000000000000e+00,-4.011725552077096246e+00
2.000000000000000000e+00,-3.995431247640450767e+00
3.000000000000000000e+00,-4.003195438852750421e+00
4.000000000000000000e+00,-3.997835576377172906e+00
5.000000000000000000e+00,-3.993299345644170995e+00
6.000000000000000000e+00,-3.998642372439061177e+00
7.000000000000000000e+00,-3.994264434462333924e+00
8.000000000000000000e+00,-3.985357492998646389e+00
9.000000000000000000e+00,-4.008332556206381625e+00
1.000000000000000000e+01,-3.997522590501227047e+00
1.100000000000000000e+01,-4.007967867220030733e+00
1.200000000000000000e+01,-4.006564528654669388e+00
1.300000000000000000e+01,-3.994514973729252016e+00
1.400000000000000000e+01,-3.998231880370470837e+00
1.500000000000000000e+01,-3.996374501890103570e+00
1.600000000000000000e+01,-4.004460944993272875e+00
1.700000000000000000e+01,-3.999629604324861809e+00
1.800000000000000000e+01,-4.009202176291345232e+00
1.900000000000000000e+01,-4.000685681806610106e+00
2.000000000000000000e+01,-4.007106446198028138e+00
2.100000000000000000e+01,-4.012049274174578350e+00
2.200000000000000000e+01,-4.017000159874785759e+00
2.300000000000000000e+01,-3.987934396233085987e+00
2.400000000000000000e+01,-4.022914741359581825e+00
2.500000000000000000e+01,-4.002373788084431894e+00
2.600000000000000000e+01,-4.031735527342675596e+00
2.700000000000000000e+01,-4.015269850273932128e+00
2.800000000000000000e+01,-4.027750106108775263e+00
2.900000000000000000e+01,-4.024660000111822455e+00
3.000000000000000000e+01,-4.036161295052671072e+00
3.100000000000000000e+01,-4.046138726938174557e+00
3.200000000000000000e+01,-4.039140469274087764e+00
3.300000000000000000e+01,-4.042949480858136546e+00
3.400000000000000000e+01,-4.031793702165281879e+00
3.500000000000000000e+01,-4.048735657445393876e+00
3.600000000000000000e+01,-4.056930550036583760e+00
3.700000000000000000e+01,-4.073499198226800289e+00
3.800000000000000000e+01,-4.056539621029627618e+00
3.900000000000000000e+01,-4.085087631208923042e+00
4.000000000000000000e+01,-4.124620088672234175e+00
4.100000000000000000e+01,-4.119682511736362684e+00
4.200000000000000000e+01,-4.126639725499607891e+00
4.300000000000000000e+01,-4.138352902177714121e+00
4.400000000000000000e+01,-4.136537545085218426e+00
4.500000000000000000e+01,-4.171728340652494538e+00
4.600000000000000000e+01,-4.183047220098284669e+00
4.700000000000000000e+01,-4.201295984428698560e+00
4.800000000000000000e+01,-4.226303068163884902e+00
4.900000000000000000e+01,-4.234039250137411337e+00
5.000000000000000000e+01,-4.234248676204450668e+00
5.100000000000000000e+01,-4.265729414414580312e+00
5.200000000000000000e+01,-4.271149588331486946e+00
5.300000000000000000e+01,-4.271507343404234547e+00
5.400000000000000000e+01,-4.285876099069183987e+00
5.500000000000000000e+01,-4.311062204778162155e+00
5.600000000000000000e+01,-4.321688749571570121e+00
5.700000000000000000e+01,-4.328146123381005239e+00
5.800000000000000000e+01,-4.338663274428465222e+00
5.900000000000000000e+01,-4.348804239947032357e+00
6.000000000000000000e+01,-4.342818019572326271e+00
6.100000000000000000e+01,-4.358472605731505745e+00
6.200000000000000000e+01,-4.366984931074761711e+00
6.300000000000000000e+01,-4.380849147381548292e+00
6.400000000000000000e+01,-4.370529611787835833e+00
6.500000000000000000e+01,-4.377402568982673436e+00
6.600000000000000000e+01,-4.385042834490235464e+00
6.700000000000000000e+01,-4.385015999444044965e+00
6.800000000000000000e+01,-4.392709605971069742e+00
6.900000000000000000e+01,-4.388095240483909976e+00
7.000000000000000000e+01,-4.402929323452176469e+00
7.100000000000000000e+01,-4.394726885937664917e+00
7.200000000000000000e+01,-4.406134853619203540e+00
7.300000000000000000e+01,-4.404355957692862589e+00
7.400000000000000000e+01,-4.402259014535879089e+00
7.500000000000000000e+01,-4.407735008286534750e+00
7.600000000000000000e+01,-4.415858696455259746e+00
7.700000000000000000e+01,-4.408177756918839840e+00
7.800000000000000000e+01,-4.407151369510244443e+00
7.900000000000000000e+01,-4.414970449103670980e+00
8.000000000000000000e+01,-4.408277421994508671e+00
8.100000000000000000e+01,-4.403288379832166477e+00
8.200000000000000000e+01,-4.415762025232419674e+00
8.300000000000000000e+01,-4.415594085361894905e+00
8.400000000000000000e+01,-4.414137768944194740e+00
8.500000000000000000e+01,-4.412970696118258651e+00
8.600000000000000000e+01,-4.423452870871188658e+00
8.700000000000000000e+01,-4.415686932838907452e+00
8.800000000000000000e+01,-4.420657852455028625e+00
8.900000000000000000e+01,-4.414327713256508190e+00
9.000000000000000000e+01,-4.421211165024741874e+00
9.100000000000000000e+01,-4.410260122579654940e+00
9.200000000000000000e+01,-4.407337446131454506e+00
9.300000000000000000e+01,-4.415940967053701982e+00
9.400000000000000000e+01,-4.417616904950068424e+00
9.500000000000000000e+01,-4.416186348276835538e+00
9.600000000000000000e+01,-4.411549296214971605e+00
9.700000000000000000e+01,-4.417678656951962601e+00
9.800000000000000000e+01,-4.418009858917139709e+00
9.900000000000000000e+01,-4.413121143634365140e+00
1.000000000000000000e+02,-4.413684336290178756e+00
1.010000000000000000e+02,-4.417269082840763694e+00
1.020000000000000000e+02,-4.423044231539341453e+00
1.030000000000000000e+02,-4.414605273760011883e+00
1.040000000000000000e+02,-4.413431595298719756e+00
1.050000000000000000e+02,-4.420087661754612540e+00
1.060000000000000000e+02,-4.422715667270712636e+00
1.070000000000000000e+02,-4.412424262927046925e+00
1.080000000000000000e+02,-4.416820569722644585e+00
1.090000000000000000e+02,-4.422361496207751763e+00
1.100000000000000000e+02,-4.412261579361939745e+00
1.110000000000000000e+02,-4.413672014561054624e+00
1.120000000000000000e+02,-4.417054550357234710e+00
1.130000000000000000e+02,-4.410232999565702805e+00
1.140000000000000000e+02,-4.411209849299823738e+00
1.150000000000000000e+02,-4.413570919724590702e+00
1.160000000000000000e+02,-4.414138730470222427e+00
1.170000000000000000e+02,-4.423284312323739087e+00
1.180000000000000000e+02,-4.414082715584654260e+00
1.190000000000000000e+02,-4.423360645175124617e+00
1.200000000000000000e+02,-4.419011306572982356e+00
1.210000000000000000e+02,-4.418151005981869162e+00
1.220000000000000000e+02,-4.404821359526479796e+00
1.230000000000000000e+02,-4.425925358112417385e+00
1.240000000000000000e+02,-4.411338240248090514e+00
1.250000000000000000e+02,-4.419953298830164634e+00
1.260000000000000000e+02,-4.416671984029238551e+00
1.270000000000000000e+02,-4.417140790036757636e+00
1.280000000000000000e+02,-4.424401016296234168e+00
1.290000000000000000e+02,-4.421682193916227632e+00
1.300000000000000000e+02,-4.417113822371422138e+00
1.310000000000000000e+02,-4.421224769792674536e+00
1.320000000000000000e+02,-4.413614175800508299e+00
1.330000000000000000e+02,-4.414394739277612167e+00
1.340000000000000000e+02,-4.417151839456272988e+00
1.350000000000000000e+02,-4.418732849756485948e+00
1.360000000000000000e+02,-4.414362592403841212e+00
1.370000000000000000e+02,-4.426436609554684765e+00
1.380000000000000000e+02,-4.419076394801397356e+00
1.390000000000000000e+02,-4.414876069020734484e+00
1.400000000000000000e+02,-4.421161190254635720e+00
1.410000000000000000e+02,-4.418483732792661378e+00
1.420000000000000000e+02,-4.426523796588242909e+00
1.430000000000000000e+02,-4.421614434499015367e+00
1.440000000000000000e+02,-4.419231557108388664e+00
1.450000000000000000e+02,-4.417097647927208826e+00
1.460000000000000000e+02,-4.412249001006719240e+00
1.470000000000000000e+02,-4.409479301535449203e+00
