N,dense,sparse
4.000000000000000000e+00,9.107279777526855469e-02,7.979035377502441406e-02
6.000000000000000000e+00,1.391515731811523438e-01,9.463095664978027344e-02
8.000000000000000000e+00,2.147855758666992188e-01,1.233282089233398438e-01
1.000000000000000000e+01,9.704566001892089844e-01,2.822885513305664062e-01
1.200000000000000000e+01,3.738898038864135742e+00,3.153002262115478516e-01
